Category,No. of reviews,Rating,Time elapsed after the last update,Size,"No. of Installations
(in '00000s)",Required Android Version,content_rating,Success
NEWS_AND_MAGAZINES,228,4.3,3 months,less than 10,0.5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,80351,4.2,1 month,between 30-40,10,above 5,Everyone,Not Successful
NEWS_AND_MAGAZINES,24712,4.6,3 months,less than 10,10,above 4,Everyone,successful
NEWS_AND_MAGAZINES,9265,4.1,3 months,between 10-20,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,1216,4.1,1 month,between 10-20,1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,6523,4.4,3 months,between 10-20,5,above 4,Everyone,successful
NEWS_AND_MAGAZINES,97745,4.4,1 month,less than 10,50,above 4,Everyone,successful
NEWS_AND_MAGAZINES,428,3.7,more than 6 months,between 20-30,1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,5549,4.3,3 months,less than 10,5,above 4,Everyone,successful
NEWS_AND_MAGAZINES,1804,4.3,1 month,less than 10,1,above 4,Everyone,successful
NEWS_AND_MAGAZINES,13191,4.2,1 month,less than 10,5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,3023,4.4,3 months,between 10-20,1,above 5,Everyone,successful
NEWS_AND_MAGAZINES,60506,4.1,3 months,less than 10,50,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,283,4,1 month,less than 10,1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,414,4.2,6 months,between 10-20,1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,586,4.2,3 months,between 10-20,0.5,above 5,Everyone,Not Successful
NEWS_AND_MAGAZINES,72480,3.7,1 month,between 20-30,100,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,2067,4.6,6 months,less than 10,0.5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,10203,4.7,1 month,between 30-40,5,above 4,Everyone,successful
NEWS_AND_MAGAZINES,9099,4.1,6 months,between 40-50,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,5240,4.2,6 months,between 10-20,1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,42106,4.1,1 month,less than 10,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,45070,4.7,1 month,less than 10,10,above 4,Everyone,successful
NEWS_AND_MAGAZINES,254,4.3,more than 6 months,between 20-30,1,above 4,Everyone,successful
NEWS_AND_MAGAZINES,72285,4.5,3 months,between 10-20,50,above 4,Everyone,successful
GAME_SPORTS,64987,4.2,1 month,between 10-20,50,above 4,Everyone,Not Successful
GAME_SPORTS,1617426,4.1,3 months,between 40-50,100,above 4,Everyone,Not Successful
GAME_SPORTS,1052652,4.4,1 month,above 50,500,above 4,Everyone,successful
GAME_SPORTS,32901,4.6,1 month,between 40-50,5,above 5,Everyone,successful
GAME_SPORTS,138249,4.4,3 months,above 50,100,above 4,Everyone,successful
GAME_SPORTS,25105,1.83,1 month,between 20-30,50,above 4,Everyone,Not Successful
GAME_SPORTS,36853,4.4,3 months,between 40-50,10,above 6,Everyone,successful
GAME_SPORTS,1168644,4.4,1 month,between 20-30,500,above 4,Everyone,successful
GAME_SPORTS,14769,4.3,6 months,between 40-50,5,above 4,Everyone,successful
GAME_SPORTS,5760,4.6,1 month,between 40-50,5,above 6,Everyone,successful
GAME_SPORTS,53613,4.5,1 month,between 40-50,10,above 5,Everyone,successful
GAME_SPORTS,1452,4.1,3 months,above 50,1,above 5,Everyone,Not Successful
GAME_SPORTS,6135932,3.9,6 months,above 50,1000,above 5,Everyone,Not Successful
GAME_SPORTS,7645,4.2,3 months,above 50,10,above 5,Everyone,Not Successful
WEATHER,1452,4.6,1 month,between 30-40,5,above 4,Everyone,successful
EDUCATION,58,4,6 months,less than 10,0.01,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,921892,4.6,3 months,less than 10,100,above 4,Everyone,successful
EDUCATION,372,3.2,6 months,between 20-30,0.5,above 4,Everyone,Not Successful
EDUCATION,111272,4.5,3 months,between 20-30,100,above 4,Everyone,successful
EDUCATION,58224,4.6,6 months,between 10-20,50,above 6,Everyone,successful
EDUCATION,9298,3.4,more than 6 months,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,221,3.8,3 months,between 30-40,1,above 4,Everyone,Not Successful
EDUCATION,196980,4.7,3 months,between 10-20,100,above 5,Everyone,successful
EDUCATION,178624,4.6,3 months,less than 10,50,above 5,Everyone,successful
EDUCATION,24,3.2,more than 6 months,less than 10,0.05,above 4,Everyone,Not Successful
SHOPPING,403760,4.4,3 months,between 10-20,100,above 4,Everyone,successful
FOOD_AND_DRINK,415207,4.4,3 months,less than 10,100,above 4,Everyone,successful
FOOD_AND_DRINK,159,4.3,more than 6 months,between 20-30,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,22962,4,3 months,between 10-20,10,above 5,Everyone,Not Successful
FOOD_AND_DRINK,188262,3.3,6 months,between 10-20,100,above 4,Everyone,Not Successful
FOOD_AND_DRINK,21076,3.3,more than 6 months,between 30-40,10,above 4,Everyone,Not Successful
BUSINESS,159,3.3,3 months,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,1922,3.9,3 months,between 10-20,1,above 6,Everyone,Not Successful
FOOD_AND_DRINK,1421595,4.3,3 months,between 10-20,500,above 4,Everyone,successful
FOOD_AND_DRINK,2068,3.5,more than 6 months,less than 10,1,above 6,Everyone,Not Successful
FOOD_AND_DRINK,3713188,4.3,3 months,between 10-20,500,above 5,Everyone,successful
GAME_CASUAL,76967,3.9,6 months,between 20-30,100,above 4,Everyone,Not Successful
GAME_CASUAL,1271,3.1,more than 6 months,between 30-40,5,above 4,Everyone,Not Successful
GAME_BOARD,962515,4.3,3 months,less than 10,1000,above 4,Everyone,successful
GAME_EDUCATIONAL,7098,3.9,3 months,between 40-50,10,above 4,Everyone,Not Successful
GAME_CASUAL,28062,4,6 months,between 40-50,50,above 4,Everyone,Not Successful
GAME_CASUAL,20804,4,6 months,above 50,100,above 4,Everyone,Not Successful
GAME_CASUAL,3167,3.4,3 months,less than 10,5,above 4,Everyone,Not Successful
GAME_BOARD,3355375,4.2,3 months,between 40-50,1000,above 4,Everyone,Not Successful
GAME_WORD,101132,4.8,3 months,above 50,100,above 4,Everyone,successful
SOCIAL,63224,4.3,more than 6 months,less than 10,50,above 4,Everyone,successful
SOCIAL,12757259,4.2,3 months,less than 10,10000,above 4,Teen,Not Successful
SOCIAL,69313,4.2,more than 6 months,between 20-30,100,above 4,Teen,Not Successful
SOCIAL,91832865,4.4,3 months,between 20-30,10000,above 5,Teen,successful
COMMUNICATION,70019845,4.2,3 months,between 30-40,10000,above 4,Everyone,Not Successful
SOCIAL,48633,3.7,6 months,between 10-20,50,above 6,Teen,Not Successful
COMMUNICATION,4388958,4.5,3 months,between 10-20,1000,above 4,Mature,successful
NEWS_AND_MAGAZINES,14145766,4.5,3 months,between 10-20,5000,above 5,Mature,successful
COMMUNICATION,5749428,3.8,3 months,above 50,1000,above 5,Everyone,Not Successful
COMMUNICATION,101566880,4.3,3 months,between 20-30,10000,above 4,Everyone,successful
TRAVEL_AND_LOCAL,31418,4.6,3 months,between 30-40,10,above 4,Everyone,successful
TRAVEL_AND_LOCAL,43,4.1,6 months,less than 10,0.1,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,713018,4.4,3 months,between 20-30,100,above 4,Everyone,successful
TRAVEL_AND_LOCAL,1635,3.1,more than 6 months,between 10-20,1,above 6,Everyone,Not Successful
TRAVEL_AND_LOCAL,2538,3.7,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,10,3.8,6 months,less than 10,0.01,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,2040,4.6,6 months,between 10-20,1,above 4,Teen,successful
TRAVEL_AND_LOCAL,4333,4.5,3 months,between 10-20,1,above 4,Everyone,successful
TRAVEL_AND_LOCAL,272390,4.5,3 months,less than 10,500,above 6,Everyone,successful
TRAVEL_AND_LOCAL,2144050,4.6,3 months,between 10-20,1000,above 4,Everyone,successful
TRAVEL_AND_LOCAL,290942,4.5,3 months,between 20-30,100,above 5,Everyone,successful
BOOKS_AND_REFERENCE,866776,4.6,3 months,between 30-40,1000,above 4,Teen,successful
BOOKS_AND_REFERENCE,7480,2.8,3 months,between 10-20,10,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,294,2.2,more than 6 months,between 40-50,0.5,above 5,Everyone,Not Successful
BOOKS_AND_REFERENCE,2520,3.4,3 months,between 30-40,1,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,2114,2.6,6 months,less than 10,1,above 5,Everyone,Not Successful
COMMUNICATION,2863,4.2,3 months,less than 10,5,above 5,Everyone,Not Successful
COMMUNICATION,1471,4.2,3 months,less than 10,1,above 4,Everyone,Not Successful
COMMUNICATION,144726,4.2,3 months,between 10-20,100,above 4,Everyone,Not Successful
COMMUNICATION,38937,4.1,3 months,between 10-20,10,above 4,Everyone,Not Successful
COMMUNICATION,166,3.2,6 months,less than 10,1,above 5,Everyone,Not Successful
COMMUNICATION,130642,3.3,3 months,between 30-40,100,above 4,Everyone,Not Successful
HEALTH_AND_FITNESS,333519,3.7,3 months,less than 10,500,above 6,Everyone,Not Successful
HEALTH_AND_FITNESS,68591,4.8,3 months,less than 10,100,above 4,Everyone,successful
HEALTH_AND_FITNESS,8215,4,3 months,between 10-20,10,above 4,Everyone,Not Successful
HEALTH_AND_FITNESS,6224,3.5,3 months,between 10-20,5,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,11758,2.7,3 months,less than 10,50,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,1330,3,6 months,between 10-20,1,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,4242,4.6,3 months,above 50,1,above 5,Teen,successful
HEALTH_AND_FITNESS,24501,3.6,3 months,between 20-30,100,above 4,Everyone,Not Successful
HEALTH_AND_FITNESS,486,1.5,6 months,between 20-30,0.1,above 6,Everyone,Not Successful
HEALTH_AND_FITNESS,10556,4.6,3 months,between 30-40,1,above 5,Everyone,successful
MEDICAL,238150,4.6,3 months,between 10-20,100,above 4,Everyone,successful
MEDICAL,154682,4.6,3 months,less than 10,50,above 5,Everyone,successful
MEDICAL,626,3.7,6 months,between 10-20,0.5,above 4,Everyone,Not Successful
MEDICAL,3383,3.9,3 months,between 10-20,5,above 5,Everyone,Not Successful
MEDICAL,1517,3.7,3 months,between 20-30,1,above 4,Everyone,Not Successful
MEDICAL,47,3.3,3 months,less than 10,0.1,above 4,Everyone,Not Successful
MEDICAL,2798,3.8,3 months,less than 10,1,above 4,Everyone,Not Successful
MUSIC_AND_AUDIO,71226,4.4,3 months,between 10-20,50,above 4,Teen,successful
MUSIC_AND_AUDIO,2412,4.3,more than 6 months,less than 10,10,above 5,Everyone,successful
MUSIC_AND_AUDIO,65,3.8,more than 6 months,less than 10,1,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,6185,4.1,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
MUSIC_AND_AUDIO,76281,2.7,6 months,less than 10,50,above 4,Teen,Not Successful
MUSIC_AND_AUDIO,250991,4.1,3 months,less than 10,500,above 5,Everyone,Not Successful
VIDEO_PLAYERS,3486,4,3 months,between 10-20,5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,64206,3.3,6 months,less than 10,10,above 5,Teen,Not Successful
NEWS_AND_MAGAZINES,33206,2.6,more than 6 months,less than 10,10,above 5,Everyone,Not Successful
BOOKS_AND_REFERENCE,107117,3.8,3 months,between 30-40,100,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,1565739,4.2,3 months,less than 10,10000,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,917743,4.1,3 months,between 40-50,1000,above 5,Teen,Not Successful
PHOTOGRAPHY,1310164,4.6,3 months,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,8939147,4.3,3 months,between 20-30,5000,above 5,Teen,successful
ENTERTAINMENT,7356553,4.1,3 months,between 10-20,1000,above 4,Teen,Not Successful
NEWS_AND_MAGAZINES,10446,3.6,more than 6 months,less than 10,1,above 5,Everyone,Not Successful
PHOTOGRAPHY,6299668,4.4,3 months,above 50,5000,above 4,Everyone,successful
SHOPPING,8934933,4.7,3 months,above 50,1000,above 4,Teen,successful
SHOPPING,4979919,4.3,3 months,between 10-20,1000,above 4,Everyone,successful
SHOPPING,13446,4.7,3 months,less than 10,5,above 4,Everyone,successful
SHOPPING,20751,4.3,3 months,between 10-20,10,above 4,Everyone,successful
SHOPPING,10760408,4.5,3 months,between 10-20,1000,above 5,Teen,successful
SHOPPING,33247,4,3 months,less than 10,50,above 5,Everyone,Not Successful
SHOPPING,550525,4.1,3 months,between 10-20,500,above 4,Everyone,Not Successful
SHOPPING,24646,3.8,3 months,between 10-20,50,above 4,Everyone,Not Successful
ART_AND_DESIGN,563572,4.5,3 months,above 50,100,above 4,Everyone,successful
ART_AND_DESIGN,50392,3.9,3 months,between 40-50,50,above 4,Everyone,Not Successful
GAME_CASUAL,52060,4.2,3 months,between 30-40,50,above 4,Everyone,Not Successful
ART_AND_DESIGN,5179,4.1,6 months,between 30-40,10,above 4,Everyone,Not Successful
PHOTOGRAPHY,8937125,4.3,3 months,between 20-30,5000,above 4,Teen,successful
PHOTOGRAPHY,4213208,4.5,3 months,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,834003,4.5,3 months,above 50,500,above 4,Everyone,successful
SOCIAL,89693,4.3,3 months,between 10-20,50,above 4,Mature,successful
LIFESTYLE,145595,3.6,3 months,between 10-20,100,above 5,Mature,Not Successful
DATING,36092,2.6,3 months,between 20-30,50,above 5,Mature,Not Successful
LIFESTYLE,5385,3.9,6 months,between 20-30,5,above 4,Mature,Not Successful
SOCIAL,131500,4.2,3 months,between 10-20,50,above 5,Mature,Not Successful
SOCIAL,1438055,3.8,3 months,above 50,500,above 5,Mature,Not Successful
SOCIAL,143816,4.2,3 months,between 10-20,100,above 4,Mature,Not Successful
VIDEO_PLAYERS,2004841,4.3,3 months,between 10-20,1000,above 5,Teen,successful
BOOKS_AND_REFERENCE,1565560,4.2,3 months,less than 10,10000,above 4,Teen,Not Successful
ENTERTAINMENT,7588307,4.5,3 months,between 10-20,5000,above 4,Teen,successful
MUSIC_AND_AUDIO,17149297,4.5,3 months,between 20-30,5000,above 6,Teen,successful
ENTERTAINMENT,624908,4.4,3 months,less than 10,100,above 5,Teen,successful
BOOKS_AND_REFERENCE,3458683,4.3,3 months,between 10-20,1000,above 4,Teen,successful
VIDEO_PLAYERS,63196815,4.3,3 months,between 20-30,50000,above 4,Teen,successful
BUSINESS,37038,3.7,3 months,above 50,100,above 4,Everyone,Not Successful
BUSINESS,11,3.4,3 months,less than 10,0.1,above 6,Everyone,Not Successful
BUSINESS,227333,4.5,3 months,between 40-50,100,above 5,Everyone,successful
PRODUCTIVITY,111548,4.7,3 months,above 50,10,above 4,Everyone,successful
BUSINESS,31618,4.3,3 months,between 20-30,10,above 4,Everyone,successful
FINANCE,1254746,4.4,3 months,between 10-20,100,above 4,Everyone,successful
BUSINESS,38674,4.5,3 months,between 40-50,10,above 4,Everyone,successful
BUSINESS,12939,4.4,3 months,between 20-30,10,above 4,Everyone,successful
BUSINESS,112929,4.4,6 months,between 40-50,100,above 4,Everyone,successful
FINANCE,1244,2.1,3 months,above 50,5,above 5,Everyone,Not Successful
NEWS_AND_MAGAZINES,67702,4.2,3 months,between 10-20,100,above 5,Everyone,Not Successful
FINANCE,76395,4.4,3 months,between 10-20,10,above 4,Everyone,successful
FINANCE,26384,4.3,3 months,less than 10,10,above 4,Everyone,successful
FINANCE,3788426,4.4,3 months,between 30-40,1000,above 6,Everyone,successful
FINANCE,4790,3.5,6 months,between 10-20,10,above 6,Everyone,Not Successful
FINANCE,12265,4.3,3 months,between 10-20,5,above 4,Everyone,successful
FINANCE,27328,3.6,more than 6 months,between 20-30,100,above 6,Everyone,Not Successful
FINANCE,162907,4.2,3 months,between 10-20,50,above 6,Everyone,Not Successful
NEWS_AND_MAGAZINES,338603,4.2,3 months,above 50,100,above 5,Everyone,Not Successful
SPORTS,6765,4.2,more than 6 months,between 10-20,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,60605,2.8,3 months,between 10-20,50,above 5,Everyone,Not Successful
NEWS_AND_MAGAZINES,89,3.4,3 months,less than 10,0.1,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,57658,4.3,3 months,less than 10,50,above 4,Everyone,successful
NEWS_AND_MAGAZINES,7300,4,3 months,between 10-20,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,32620,3.6,3 months,between 10-20,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,450607,4.2,3 months,less than 10,100,above 5,Teen,Not Successful
NEWS_AND_MAGAZINES,542824,4.2,3 months,between 10-20,100,above 4,Everyone,Not Successful
SPORTS,462,2.5,more than 6 months,less than 10,1,above 6,Everyone,Not Successful
SPORTS,128026,3.6,3 months,between 30-40,100,above 5,Everyone,Not Successful
SPORTS,44258,4.3,more than 6 months,between 10-20,5,above 4,Everyone,successful
SPORTS,144516,4.2,3 months,above 50,100,above 4,Everyone,Not Successful
SPORTS,434,3.3,3 months,between 10-20,1,above 4,Everyone,Not Successful
SPORTS,67858,4.4,3 months,between 10-20,10,above 4,Everyone,successful
SPORTS,1956,4.1,3 months,between 20-30,1,above 4,Everyone,Not Successful
SPORTS,259,4.7,3 months,between 30-40,0.1,above 5,Everyone,Not Successful
SPORTS,10,4.6,more than 6 months,less than 10,0.1,above 4,Everyone,Not Successful
SPORTS,0,4.2,3 months,between 20-30,0.5,above 5,Teen,Not Successful
WEATHER,25855,3.3,more than 6 months,between 20-30,10,above 4,Everyone,Not Successful
WEATHER,353,4.3,6 months,between 10-20,0.5,above 4,Everyone,Not Successful
WEATHER,479121,4.7,6 months,less than 10,100,above 4,Everyone,successful
WEATHER,15213,4.3,3 months,above 50,10,above 4,Everyone,successful
WEATHER,29098,4.4,6 months,between 20-30,10,above 4,Everyone,successful
WEATHER,886,3.7,3 months,between 30-40,1,above 4,Everyone,Not Successful
WEATHER,2022,4.1,3 months,between 10-20,1,above 5,Everyone,Not Successful
WEATHER,145,4.3,3 months,above 50,0.1,above 6,Everyone,Not Successful
WEATHER,2449,4.5,more than 6 months,less than 10,1,above 5,Everyone,successful
Auto & vehicles,113,4.3,3 months,between 20-30,0.05,above 6,Everyone,Not Successful
Auto & vehicles,26000,4.6,3 months,less than 10,10,above 5,Everyone,successful
Auto & vehicles,148000,4.7,3 months,between 10-20,50,above 4,Everyone,successful
Auto & vehicles,1000,3,6 months,between 40-50,1,above 5,Everyone,Not Successful
Auto & vehicles,58,3.3,3 months,between 10-20,0.05,above 4,Everyone,Not Successful
Tools,61000,2.9,6 months,less than 10,50,above 6,Everyone,Not Successful
Tools,96000,3.2,3 months,between 40-50,100,above 4,Everyone,Not Successful
Tools,4000000,4.6,6 months,between 30-40,1000,above 4,Everyone,successful
Tools,427000,3.5,more than 6 months,between 20-30,500,above 5,Everyone,Not Successful
Tools,45,3.6,3 months,less than 10,1,above 5,Everyone,Not Successful
DayDream,3000,3.9,3 months,between 40-50,10,above 5,Everyone,Not Successful
DayDream,22000,3.9,more than 6 months,between 30-40,50,above 5,Everyone,Not Successful
DayDream,31000,4.5,more than 6 months,less than 10,10,above 4,Teen,successful
Dating,358986,3.9,3 months,between 20-30,100,above 6,Teen,Not Successful
